TIME 	 VAUXP[1] 	 VAUXN[1] 
82665307 0.5 0
82667387 0.5 0
82669467 0.5 0
82671547 0.5 0
82673627 0.5 0
82675707 0.5 0
82677787 0.5 0
82679867 0.5 0
82681947 0.5 0
82684027 0.5 0
82686107 0.5 0
82688187 0.5 0
82690267 0.5 0
82692347 0.5 0
82694427 0.5 0
82696507 0.5 0
82698587 0.5 0
82700667 0.5 0
82702747 0.5 0
82704827 0.5 0
82706907 0.5 0
82708987 0.5 0
82711067 0.5 0
82713147 0.5 0
82715227 0.5 0
82717307 0.5 0
82719387 0.5 0
82721467 0.5 0
82723547 0.5 0
82725627 0.5 0
82727707 0.5 0
82729787 0.5 0
82731867 0.5 0
82733947 0.5 0
82736027 0.5 0
82738107 0.5 0
82740187 0.5 0
82742267 0.5 0
82744347 0.5 0
82746427 0.5 0
82748507 0.5 0
82750587 0.5 0
82752667 0.5 0
82754747 0.5 0
82756827 0.5 0
82758907 0.5 0
82760987 0.5 0
82763067 0.5 0
82765147 0.5 0
82767227 0.5 0
82769307 0.5 0
82771387 0.5 0
82773467 0.5 0
82775547 0.5 0
82777627 0.5 0
82779707 0.5 0
82781787 0.5 0
82783867 0.5 0
82785947 0.5 0
82788027 0.5 0
82790107 0.5 0
82792187 0.5 0
82794267 0.5 0
82796347 0.5 0
82798427 0.5 0
82800507 0.5 0
82802587 0.5 0
82804667 0.5 0
82806747 0.5 0
82808827 0.5 0
82810907 0.5 0
82812987 0.5 0
82815067 0.5 0
82817147 0.5 0
82819227 0.5 0
82821307 0.5 0
82823387 0.5 0
82825467 0.5 0
82827547 0.5 0
82829627 0.5 0
82831707 0.5 0
82833787 0.5 0
82835867 0.5 0
82837947 0.5 0
82840027 0.5 0
82842107 0.5 0
82844187 0.5 0
82846267 0.5 0
82848347 0.5 0
82850427 0.5 0
82852507 0.5 0
82854587 0.5 0
82856667 0.5 0
82858747 0.5 0
82860827 0.5 0
82862907 0.5 0
82864987 0.5 0
82867067 0.5 0
82869147 0.5 0
82871227 0.5 0
82873307 0.5 0
82875387 0.5 0
82877467 0.5 0
82879547 0.5 0
82881627 0.5 0
82883707 0.5 0
82885787 0.5 0
82887867 0.5 0
82889947 0.5 0
82892027 0.5 0
82894107 0.5 0
82896187 0.5 0
82898267 0.5 0
82900347 0.5 0
82902427 0.5 0
82904507 0.5 0
82906587 0.5 0
82908667 0.5 0
82910747 0.5 0
82912827 0.5 0
82914907 0.5 0
82916987 0.5 0
82919067 0.5 0
82921147 0.5 0
82923227 0.5 0
82925307 0.5 0
82927387 0.5 0
82929467 0.5 0
82931547 0.5 0
82933627 0.5 0
82935707 0.5 0
82937787 0.5 0
82939867 0.5 0
82941947 0.5 0
82944027 0.5 0
82946107 0.5 0
82948187 0.5 0
82950267 0.5 0
82952347 0.5 0
82954427 0.5 0
82956507 0.5 0
82958587 0.5 0
82960667 0.5 0
82962747 0.5 0
82964827 0.5 0
82966907 0.5 0
82968987 0.5 0
82971067 0.5 0
82973147 0.5 0
82975227 0.5 0
82977307 0.5 0
82979387 0.5 0
82981467 0.5 0
82983547 0.5 0
82985627 0.5 0
82987707 0.5 0
